  137.070919    -4.393426 1
  137.091353     0.617769 1
  137.111788     3.377440 1
  137.132223    -1.547563 1
  137.152657     4.455122 1
  137.173092    -2.152707 1
  137.193526     4.833272 1
  137.213961     4.257312 1
  137.234395    -2.136358 1
  137.254830     3.769587 1
  137.275264     1.022600 1
  137.295699     2.605513 1
  137.316133     0.753176 1
  137.336568    -4.822162 1
  137.357002    -0.238961 1
  137.397872    -1.574691 1
  137.418306    -0.582172 1
  137.438741     0.434912 1
  137.459175    -2.651490 1
  137.479610    -0.806578 1
  137.500044     6.238304 1
  137.520479    -7.238401 1
  137.540913    -2.562304 1
  137.561348     3.864856 1
  137.581782    -3.719060 1
  137.602217    -3.147775 1
  137.622651     4.223152 1
  137.643086     0.066377 1
  137.663520     2.008279 1
